Current Body Type,Target Body Type,Workout Plan,Diet Plan,Estimated Duration (Days)
Ectomorph,Mesomorph,Cardio & Flexibility 4x/week,"High Protein, Caloric Surplus",75
Mesomorph,Endomorph,Strength & Cardio 5x/week,Balanced Diet with Fiber Focus,103
Endomorph,Mesomorph,Endurance & HIIT 4x/week,"Low Fat, High Protein",73
Endomorph,Ectomorph,Strength & Weight Lifting 5x/week,"High Protein, Caloric Surplus",172
Endomorph,Ectomorph,Strength & Cardio 5x/week,"High Carb, Moderate Protein",102
Mesomorph,Endomorph,Cardio & Flexibility 4x/week,"High Carb, Moderate Protein",62
Endomorph,Mesomorph,Full-body Circuit Training 3x/week,Balanced Diet with Fiber Focus,128
Mesomorph,Ectomorph,Endurance & HIIT 4x/week,"Low Fat, High Protein",119
Ectomorph,Mesomorph,Strength & Cardio 5x/week,"High Carb, Moderate Protein",154
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"Low Fat, High Protein",90
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,"Low Fat, High Protein",153
Ectomorph,Endomorph,Strength & Cardio 5x/week,"High Carb, Moderate Protein",85
Ectomorph,Endomorph,Strength & Weight Lifting 5x/week,"High Carb, Moderate Protein",126
Ectomorph,Mesomorph,Cardio & Flexibility 4x/week,"High Protein, Caloric Surplus",176
Mesomorph,Ectomorph,Strength & Weight Lifting 5x/week,"High Carb, Moderate Protein",85
Endomorph,Ectomorph,Cardio & Flexibility 4x/week,"High Carb, Moderate Protein",121
Mesomorph,Endomorph,Endurance & HIIT 4x/week,"Low Fat, High Protein",167
Mesomorph,Endomorph,Strength & Weight Lifting 5x/week,"Low Fat, High Protein",97
Ectomorph,Endomorph,Full-body Circuit Training 3x/week,Balanced Diet with Fiber Focus,152
Ectomorph,Endomorph,Strength & Weight Lifting 5x/week,Balanced Diet with Fiber Focus,169
Mesomorph,Ectomorph,Full-body Circuit Training 3x/week,"Low Fat, High Protein",77
Ectomorph,Mesomorph,Strength & Cardio 5x/week,Balanced Diet with Fiber Focus,98
Mesomorph,Ectomorph,Full-body Circuit Training 3x/week,Balanced Diet with Fiber Focus,61
Mesomorph,Ectomorph,Endurance & HIIT 4x/week,"Low Fat, High Protein",125
Endomorph,Mesomorph,Full-body Circuit Training 3x/week,"High Carb, Moderate Protein",106
Mesomorph,Ectomorph,Cardio & Flexibility 4x/week,"High Protein, Low Carb",83
Endomorph,Ectomorph,Full-body Circuit Training 3x/week,"High Protein, Caloric Surplus",98
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"Low Fat, High Protein",121
Mesomorph,Endomorph,Strength & Weight Lifting 5x/week,"High Carb, Moderate Protein",180
Endomorph,Mesomorph,Cardio & Flexibility 4x/week,"High Protein, Low Carb",71
Endomorph,Ectomorph,Strength & Cardio 5x/week,"High Carb, Moderate Protein",156
Ectomorph,Mesomorph,Strength & Cardio 5x/week,"High Protein, Low Carb",177
Ectomorph,Endomorph,Cardio & Flexibility 4x/week,"High Protein, Low Carb",162
Ectomorph,Mesomorph,Endurance & HIIT 4x/week,"High Protein, Caloric Surplus",115
Ectomorph,Mesomorph,Strength & Weight Lifting 5x/week,"Low Fat, High Protein",146
Endomorph,Mesomorph,Full-body Circuit Training 3x/week,"High Protein, Low Carb",101
Endomorph,Ectomorph,Full-body Circuit Training 3x/week,Balanced Diet with Fiber Focus,116
