Height (cm),Weight (kg),Shoulder Width (cm),Waist Width (cm),Arm Width (cm),Chest Width (cm),Leg Width (cm),Body Type (Label)
151.8,56.9,41.3,67.6,20.0,92.6,43.9,Ectomorph
150.2,68.7,42.9,89.7,32.5,107.2,53.5,Endomorph
152.0,51.0,35.8,69.9,27.3,92.2,41.8,Ectomorph
169.5,51.2,40.6,60.1,22.8,84.6,45.8,Ectomorph
178.9,77.6,40.5,87.8,29.3,99.8,51.9,Endomorph
187.1,63.5,43.8,82.4,33.1,114.7,51.3,Endomorph
152.1,53.7,44.5,69.6,26.1,94.0,41.1,Ectomorph
184.5,72.8,42.1,92.8,29.6,110.9,57.0,Endomorph
157.2,79.4,39.9,75.6,34.4,102.1,55.3,Endomorph
176.1,62.8,41.0,78.5,27.5,82.7,40.9,Ectomorph
155.0,68.0,48.3,78.1,27.2,104.9,56.4,Mesomorph
154.5,71.9,45.0,96.2,34.8,108.6,64.7,Endomorph
188.0,82.4,47.0,66.3,34.9,96.5,51.8,Mesomorph
154.9,88.2,39.6,77.8,29.0,98.8,61.7,Endomorph
170.6,88.1,47.8,91.3,27.4,112.8,53.7,Endomorph
170.5,70.0,40.1,68.3,26.4,99.6,52.4,Mesomorph
181.5,75.7,41.3,77.8,32.0,110.5,61.6,Endomorph
171.5,55.1,36.0,62.6,24.7,86.6,43.6,Ectomorph
170.7,87.5,39.2,93.6,25.7,113.3,61.1,Endomorph
165.1,90.3,41.6,78.9,33.5,96.1,57.4,Endomorph
160.8,51.0,37.3,67.6,23.8,81.1,44.0,Ectomorph
172.0,69.2,47.0,88.0,30.6,101.8,53.6,Endomorph
188.6,82.9,40.6,98.0,32.9,93.1,51.4,Endomorph
177.0,70.1,42.0,95.1,27.9,95.5,55.7,Endomorph
170.6,72.9,47.7,79.7,34.7,109.9,50.1,Mesomorph
165.8,62.3,44.4,67.2,24.6,86.0,43.7,Ectomorph
158.4,63.7,43.8,90.6,33.0,92.2,64.7,Endomorph
156.7,80.6,38.5,87.0,33.2,90.0,53.5,Endomorph
152.5,80.5,46.0,92.9,32.6,104.7,50.2,Endomorph
163.5,67.8,44.1,74.2,30.1,92.9,55.0,Mesomorph
177.0,85.1,38.5,89.5,27.8,104.1,62.4,Endomorph
151.8,70.7,45.6,77.0,30.4,97.3,64.8,Endomorph
183.3,69.2,40.2,93.4,34.5,91.3,63.4,Endomorph
157.8,61.5,38.6,83.1,28.7,108.1,51.3,Endomorph
181.2,97.6,43.8,87.7,26.0,91.7,50.4,Endomorph
189.0,94.8,45.9,90.2,30.3,97.3,51.8,Endomorph
157.6,70.9,49.1,80.9,25.2,100.9,55.3,Mesomorph
184.8,79.9,49.2,80.1,32.3,91.6,58.1,Mesomorph
163.0,56.1,42.8,68.5,30.8,106.3,50.1,Mesomorph
181.9,75.6,42.7,71.9,33.6,108.7,54.1,Mesomorph
169.8,75.2,48.2,73.0,27.5,96.2,55.4,Mesomorph
165.9,83.8,41.9,80.4,28.9,90.2,56.0,Endomorph
174.8,81.7,45.0,76.6,34.6,104.2,57.5,Mesomorph
181.6,71.9,39.9,94.6,26.6,108.5,58.6,Endomorph
154.6,62.8,43.6,74.6,28.9,102.2,56.6,Mesomorph
184.4,76.6,44.4,71.8,32.7,107.4,53.8,Mesomorph
164.3,70.3,41.8,79.3,28.8,104.3,63.0,Endomorph
167.4,54.2,42.6,70.2,20.7,88.0,46.7,Ectomorph
150.2,51.8,40.4,70.5,20.5,93.3,42.4,Ectomorph
150.5,71.4,39.0,94.7,28.8,105.7,56.9,Endomorph
168.1,69.4,40.0,77.2,32.8,113.7,63.7,Endomorph
177.6,62.3,42.3,79.9,27.9,90.8,47.1,Ectomorph
183.2,58.2,35.7,72.2,24.8,92.0,40.1,Ectomorph
166.4,52.8,37.3,65.4,24.2,89.1,42.8,Ectomorph
157.5,66.6,42.2,67.6,30.3,95.9,56.5,Mesomorph
165.1,50.9,41.5,79.6,27.9,94.2,45.5,Ectomorph
151.3,69.0,41.4,98.4,26.3,95.2,54.3,Endomorph
155.0,73.3,47.4,94.0,34.9,113.3,54.1,Endomorph
165.3,48.6,36.1,65.7,22.1,82.5,48.5,Ectomorph
151.1,58.0,44.3,71.6,28.0,99.0,58.7,Mesomorph
172.4,62.9,42.6,74.6,32.6,92.3,59.1,Mesomorph
156.6,67.4,43.8,73.2,26.6,92.6,58.4,Mesomorph
178.9,77.1,45.9,78.6,29.4,112.9,58.6,Endomorph
175.3,80.7,45.9,88.1,25.9,108.0,62.5,Endomorph
183.1,63.4,43.1,65.8,31.1,107.7,57.9,Mesomorph
178.6,70.7,44.8,66.0,25.4,104.9,54.7,Mesomorph
173.1,88.4,46.7,88.5,25.2,106.4,61.3,Endomorph
177.5,85.6,42.0,84.2,33.6,109.8,55.6,Endomorph
155.0,52.2,41.4,74.0,22.5,92.1,45.0,Ectomorph
176.4,86.9,44.3,79.4,30.7,113.6,58.6,Endomorph
172.2,72.8,40.1,70.4,32.1,104.8,52.2,Mesomorph
150.1,73.3,44.8,68.0,25.9,99.4,56.0,Mesomorph
178.0,55.0,35.2,72.3,27.1,92.7,44.1,Ectomorph
156.4,57.2,38.0,75.9,22.6,92.2,42.7,Ectomorph
162.1,66.6,46.2,65.1,29.9,97.4,53.3,Mesomorph
166.1,78.8,40.6,78.8,32.3,112.8,57.8,Endomorph
184.1,65.5,40.4,66.5,31.0,98.7,59.0,Mesomorph
157.0,60.8,39.9,72.7,24.7,83.7,42.3,Ectomorph
186.9,62.2,38.4,66.4,24.1,94.6,43.0,Ectomorph
151.9,57.4,38.1,68.7,26.0,92.5,46.9,Ectomorph
163.8,64.1,38.8,89.6,28.7,96.3,52.4,Endomorph
182.6,78.4,40.3,68.5,34.4,94.1,52.0,Mesomorph
189.2,67.8,41.5,74.1,32.0,91.4,53.1,Mesomorph
183.9,61.4,39.1,74.8,25.7,94.8,46.7,Ectomorph
169.8,63.6,43.1,71.4,20.5,91.7,44.7,Ectomorph
153.5,57.4,43.8,72.9,26.5,80.4,46.3,Ectomorph
168.2,81.7,44.9,89.3,31.2,98.2,56.3,Endomorph
182.4,78.8,45.7,80.8,28.6,102.4,56.7,Mesomorph
175.9,58.7,38.9,72.0,21.5,86.4,46.3,Ectomorph
185.9,82.9,42.3,87.9,28.7,90.2,62.5,Endomorph
159.4,76.7,49.3,78.4,28.8,93.5,51.7,Mesomorph
168.3,80.7,44.8,91.4,32.6,112.1,63.4,Endomorph
165.9,54.7,38.1,79.4,24.4,83.7,46.8,Ectomorph
153.0,54.0,38.9,74.8,25.0,93.3,45.0,Ectomorph
176.6,79.7,38.0,95.0,28.2,99.7,54.4,Endomorph
160.0,62.1,40.6,76.6,33.4,110.2,56.8,Endomorph
168.2,70.4,43.4,98.4,30.3,103.4,64.3,Endomorph
185.0,63.5,41.8,68.9,34.4,109.5,58.6,Mesomorph
162.2,72.2,42.2,70.0,33.6,102.7,59.9,Mesomorph
172.8,55.5,35.4,69.3,26.9,80.3,47.8,Ectomorph
164.0,55.8,38.2,60.6,24.6,91.5,41.1,Ectomorph
153.2,56.5,39.1,64.2,25.5,86.3,47.4,Ectomorph
169.8,64.5,40.9,63.7,25.9,80.5,45.6,Ectomorph
170.9,53.2,35.9,73.5,27.8,82.0,41.4,Ectomorph
168.9,58.8,44.6,66.5,24.3,95.0,45.5,Ectomorph
167.7,72.4,42.6,69.4,34.8,103.6,54.7,Mesomorph
155.0,77.7,47.2,98.8,29.6,101.1,64.7,Endomorph
156.0,84.6,42.7,70.9,34.2,93.9,55.8,Mesomorph
186.8,68.1,44.4,76.8,28.8,100.3,50.1,Mesomorph
186.2,58.5,36.2,62.9,23.3,93.1,47.0,Ectomorph
165.4,83.3,46.0,89.1,33.9,109.9,51.4,Endomorph
